job,Q,k,alpha,mu_token,v,r_max_mm,z_max_mm,increment,odb_path
1020_2a_32_rd_150_cal_50_v_10_fric_025,0.015,0.5,16.0,025,10.0,18.435,112.2,3505818,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_50_v_10_fric_025.odb
1020_2a_32_rd_150_cal_50_v_10_fric_050,0.015,0.5,16.0,050,10.0,18.435,112.2,3505818,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_50_v_10_fric_050.odb
1020_2a_32_rd_150_cal_75_v_10_fric_0100,0.015,0.75,16.0,0100,10.0,18.388,112.3,3621398,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_75_v_10_fric_0100.odb
1020_2a_32_rd_150_cal_75_v_10_fric_025,0.015,0.75,16.0,025,10.0,18.388,112.3,3621398,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_75_v_10_fric_025.odb
1020_2a_32_rd_150_cal_75_v_10_fric_050,0.015,0.75,16.0,050,10.0,18.388,112.3,3621398,V:/Wire_drawing/2026/odb/1020_2a_32_rd_150_cal_75_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_0_v_10_fric_0100,0.2,0.0,16.0,0100,10.0,18.001,140.0,6644727,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_0_v_10_fric_0100.odb
1020_2a_32_rd_2000_cal_0_v_10_fric_025,0.2,0.0,16.0,025,10.0,18.001,140.0,6644727,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_0_v_10_fric_025.odb
1020_2a_32_rd_2000_cal_0_v_10_fric_050,0.2,0.0,16.0,050,10.0,18.001,140.0,6644727,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_0_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_100_v_10_fric_0100,0.2,1.0,16.0,0100,10.0,18.001,145.7,7563969,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_100_v_10_fric_0100.odb
1020_2a_32_rd_2000_cal_100_v_10_fric_025,0.2,1.0,16.0,025,10.0,18.001,145.7,7563969,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_100_v_10_fric_025.odb
1020_2a_32_rd_2000_cal_100_v_10_fric_050,0.2,1.0,16.0,050,10.0,18.001,145.7,7563969,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_100_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_10_v_10_fric_0100,0.2,0.1,16.0,0100,10.0,18.001,140.5,6722411,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_10_v_10_fric_0100.odb
1020_2a_32_rd_2000_cal_10_v_10_fric_025,0.2,0.1,16.0,025,10.0,18.001,140.5,6722411,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_10_v_10_fric_025.odb
1020_2a_32_rd_2000_cal_10_v_10_fric_050,0.2,0.1,16.0,050,10.0,18.001,140.5,6722411,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_10_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_30_v_10_fric_0100,0.2,0.3,16.0,0100,10.0,18.001,141.7,6899284,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_30_v_10_fric_0100.odb
1020_2a_32_rd_2000_cal_30_v_10_fric_025,0.2,0.3,16.0,025,10.0,18.001,141.7,6899284,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_30_v_10_fric_025.odb
1020_2a_32_rd_2000_cal_30_v_10_fric_050,0.2,0.3,16.0,050,10.0,18.001,141.7,6899284,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_30_v_10_fric_050.odb
1020_2a_32_rd_2000_cal_50_v_10_fric_0100,0.2,0.5,16.0,0100,10.0,18.001,142.9,7074756,V:/Wire_drawing/2026/odb/1020_2a_32_rd_2000_cal_50_v_10_fric_0100.odb
